#,epochs,BC mean reward,BC std reward,expert mean reward,expert std reward
1,1.0,-29.01104227439136,10.126737819215382,-3.7891805772966434,1.6750751037363851
5,5.0,-16.727827683977214,5.502006830009176,-3.7537856020462064,1.801007629562799
10,10.0,-11.87295558044126,4.459937751978359,-3.8548367527857454,1.6749804822729
15,15.0,-9.376948479859914,4.066425595153702,-3.7115035094661737,1.8412475063582396
20,20.0,-11.691355936012455,4.035161450199337,-4.4542786309296565,1.7025564478887578
25,25.0,-8.750723326427345,4.669811531572695,-3.566385751780792,1.2915757794935678
30,30.0,-9.617224028448591,3.795201920925028,-4.063410378574512,1.893008995281308
35,35.0,-10.172352940483275,4.315257967593847,-3.962486660012003,1.8346916255341452
40,40.0,-9.436087419706007,4.506556390153391,-3.7533831188865294,1.4950003223716024
50,50.0,-7.166298030239742,3.718302744552137,-3.667228758901904,1.6487232261512814
